0420134420|sip  |4|00|NAPTR query for host 'lakeexcavating.voxter.sip.voxter.com' returned no results
0420134519|clist|4|00|dbIO::processResult:copy error
0420134519|clist|4|00|dbSet::mem2srv:transfer failed
0420140419|clist|4|00|dbIO::processResult:copy error
0420140419|clist|4|00|dbSet::mem2srv:transfer failed
0420144319|clist|4|00|dbIO::processResult:copy error
0420144319|clist|4|00|dbSet::mem2srv:transfer failed
0420150517|clist|4|00|dbIO::processResult:copy error
0420150517|clist|4|00|dbSet::mem2srv:transfer failed
0420154017|clist|4|00|dbIO::processResult:copy error
0420154017|clist|4|00|dbSet::mem2srv:transfer failed
0420160217|clist|4|00|dbIO::processResult:copy error
0420160217|clist|4|00|dbSet::mem2srv:transfer failed
0420162235|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420162235|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420163517|clist|4|00|dbIO::processResult:copy error
0420163517|clist|4|00|dbSet::mem2srv:transfer failed
0420163617|clist|4|00|dbIO::processResult:copy error
0420163617|clist|4|00|dbSet::mem2srv:transfer failed
0420171017|clist|4|00|dbIO::processResult:copy error
0420171017|clist|4|00|dbSet::mem2srv:transfer failed
0420173753|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420173753|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420173817|clist|4|00|dbIO::processResult:copy error
0420173817|clist|4|00|dbSet::mem2srv:transfer failed
0421072317|clist|4|00|dbIO::processResult:copy error
0421072317|clist|4|00|dbSet::mem2srv:transfer failed
0421082417|clist|4|00|dbIO::processResult:copy error
0421082417|clist|4|00|dbSet::mem2srv:transfer failed
0421082517|clist|4|00|dbIO::processResult:copy error
0421082517|clist|4|00|dbSet::mem2srv:transfer failed
0421085317|clist|4|00|dbIO::processResult:copy error
0421085317|clist|4|00|dbSet::mem2srv:transfer failed
0421091254|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421091254|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421093217|clist|4|00|dbIO::processResult:copy error
0421093217|clist|4|00|dbSet::mem2srv:transfer failed
0421100210|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421100210|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421100317|clist|4|00|dbIO::processResult:copy error
0421100317|clist|4|00|dbSet::mem2srv:transfer failed
0421110242|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421110242|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421110317|clist|4|00|dbIO::processResult:copy error
0421110317|clist|4|00|dbSet::mem2srv:transfer failed
0421131517|clist|4|00|dbIO::processResult:copy error
0421131517|clist|4|00|dbSet::mem2srv:transfer failed
