0420094228|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420094228|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420095115|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420095115|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420101500|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420101500|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420110516|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420110516|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420113519|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420113519|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420114337|sip  |4|00|NAPTR query for host 'fmoffice.fullymanaged.sip.voxter.com' returned no results
0420141540|ares |4|00|aresDnsLookup: select time-out 1 on NAPTR lookup for 'fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420141541|ares |4|00|aresDnsLookup: select time-out 2 on NAPTR lookup for 'fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420141542|ares |4|00|aresDnsLookup: select time-out 3 on NAPTR lookup for 'fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420141543|ares |4|00|aresDnsLookup: select time-out 4 on NAPTR lookup for 'fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420141545|ares |4|00|aresDnsLookup: select time-out 5 on NAPTR lookup for 'fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420141547|ares |4|00|aresDnsLookup: select time-out 6 on NAPTR lookup for 'fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420141547|dns  |4|00|DNS server(s) unresponsive due to query timeout after 8 sec (Threshold = 5)
0420141547|sip  |4|00|doDnsListLookup(udp): doDnsSrvLookupForARecordList 'fmoffice.fullymanaged.sip.voxter.com' found no records. 
0420141609|dns  |4|00|DNS(NAPTR) query now allowed after unresponsive for 22 (of 10) sec
0420141613|sip  |4|00|Registration failed User: 8231, Error Code:401 Unauthorized
0420144657|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420144657|so   |4|00|IsDivertFeaturesEnabled - EXIT
0420144846|clist|4|00|dbIO::processResult:copy error
0420144846|clist|4|00|dbSet::mem2srv:transfer failed
0420165226|ares |4|00|aresDnsLookup: select time-out 1 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165227|ares |4|00|aresDnsLookup: select time-out 2 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165228|ares |4|00|aresDnsLookup: select time-out 3 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165229|ares |4|00|aresDnsLookup: select time-out 4 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165231|ares |4|00|aresDnsLookup: select time-out 5 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165233|ares |4|00|aresDnsLookup: select time-out 6 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165233|dns  |4|00|DNS server(s) unresponsive due to query timeout after 8 sec (Threshold = 5)
0420165233|sip  |4|00|doDnsListLookup(udp): doDnsSrvLookupForARecordList 'fmoffice.fullymanaged.sip.voxter.com' found no records. 
0420165233|sip  |4|00|Registration failed User: 8231, Error Code:480 Temporarily not available
0420165255|dns  |4|00|DNS(SRV) query now allowed after unresponsive for 22 (of 10) sec
0420165256|ares |4|00|aresDnsLookup: select time-out 1 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165257|ares |4|00|aresDnsLookup: select time-out 2 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165258|ares |4|00|aresDnsLookup: select time-out 3 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165259|ares |4|00|aresDnsLookup: select time-out 4 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
